var,qPCR_HSA,DROP-SEQ_HSA,Enrichment_HSA,HIVE_HSA,qPCR_LMA,DROP-SEQ_LMA,Enrichment_LMA,HIVE_LMA,qPCR_HSB,DROP-SEQ_HSB,HIVE_HSB,qPCR_LMB,DROP-SEQ_LMB,HIVE_LMB
PF3D7_0100300,0,0.000718907,0.000529661,0.000553063,0,0,0,6.25039E-05,0,0,0.000149925,0,0.00219058,8.99604E-05
PF3D7_0400400,0.000161542,0,0,0.004178701,0.016415475,0.03385417,0.041626016,0.016876055,0.000402421,0.008040201,0.005697151,0.037115,0.00109529,0.006657071
PF3D7_0425800,0.000264306,0.002156722,0.000264831,0.007220549,0.019186191,0.00520833,0.024715447,0.037064817,0.000973519,0.015075377,0.007946027,0.046422,0.01204819,0.013763944
PF3D7_0600400,0.000578506,0,0,9.21772E-05,0.026005928,0,0,0.001312582,0.001742138,0.00201005,0.000149925,0.06748,0,0.000899604
PF3D7_0800200,0.000617895,0.001078361,0.001059322,0.004578136,0.005263227,0.00260417,0.003902439,0.006812926,0.000390255,0.005025126,0.000749625,0.011573,0.00109529,0.000539763
PF3D7_0937600,0.000123933,0.000359454,0.000264831,0.00021508,0.006848186,0.00260417,0,0.001000063,0.000376996,0.003015075,0,0.020648,0.00109529,0.000719683
PF3D7_1100200,0.000714022,0.005751258,0.019332627,0.005315553,0.052614874,0.02864583,0.068617886,0.02287643,0.002769924,0.011055276,0.005247376,0.118688,0.00766703,0.011155092
PF3D7_1150400,0.000373224,0.001797268,0,0.006145148,0.045408654,0.04166667,0.031869919,0.035314707,0.002118724,0.016080402,0.017541229,0.096769,0.01204819,0.018261965
PF3D7_1300300,8.06128E-05,0.002156722,0.006091102,0.006083697,0.005426044,0.06510417,0.04195122,0.014938434,0.000111951,0.014070352,0.003598201,0.00505,0.01752464,0.009535804
PF3D7_0100100,0.000462506,0.000718907,0.003972458,0.005561359,5.6058E-07,0.00520833,0,0.00031252,7.17632E-08,0.001005025,0.002548726,0.0000249,0.00109529,0.000449802
PF3D7_0115700,0.000112259,0.000359454,0.000264831,0.003349106,0.004053571,0.01822917,0.004878049,0.004562785,0.001397948,0,0.002848576,0.042027,0.00219058,0.008006477
PF3D7_0200100,2.36868E-07,0.007189073,0.02621822,0.003164751,6.50878E-06,0.00260417,0.00097561,0.00031252,5.413E-07,0.001005025,0.00029985,0.00000732,0,0.000539763
PF3D7_0223500,0.000195568,0.000359454,0.031779661,0.004731764,0.007676983,0.01041667,0.022764228,0.022626414,0.000634114,0.00201005,0.006896552,0.077545,0.0109529,0.017902123
PF3D7_0300100,0.000654697,0.002156722,0.014830508,0.003502735,0.024145565,0.01041667,0.010081301,0.021563848,0.00141107,0.001005025,0.007346327,0.104376,0.03504929,0.018441886
PF3D7_0324900,8.84004E-07,0.002516175,0.003177966,0.000153629,0.011347062,0.00260417,0.011707317,0.010375648,0.001015621,0.010050251,0.0011994,0.034245,0.00109529,0.007106873
PF3D7_0400100,0.000245253,0.001437815,0.009798729,0.004701039,0.007911801,0.09635417,0.025365854,0.014500906,0.000733215,0,0.007496252,0.033781,0.00328587,0.009805685
PF3D7_0426000,0.000263477,0.002875629,0.003442797,0.007957967,0.007021069,0.00260417,0.006829268,0.008250516,0.000548271,0,0.002848576,0.0000255,0,0.003958258
PF3D7_0500100,0.000383762,0.000359454,0.000529661,0.003164751,0.014267821,0.00260417,0.006504065,0.011625727,0.000867447,0.001005025,0.013793103,0.049969,0.00657174,0.010975171
PF3D7_0632800,0.000689602,0.001078361,0.002648305,0.003994346,0.055873845,0.03645833,0.048780488,0.030251891,0.002321575,0.004020101,0.002998501,0.127014,0.00109529,0.017992083
PF3D7_0700100,0.00011614,0.001078361,0.011122881,0.008388128,0.001747454,0.00520833,0.000650407,0.006062879,0.000351025,0.00201005,0.003748126,0.007982,0.00109529,0.003058654
PF3D7_0733000,0.00059616,0.002516175,0.053495763,0.0031033,0.000736269,0.00260417,0.002276423,0.004125258,0.003176446,0.007035176,0.003148426,0.166354,0,0.01070529
PF3D7_0800100,0.000410774,0,0.000264831,0.008572482,0.007302904,0.01302083,0.022439024,0.019876242,0.001089434,0.004020101,0.009295352,0.051416,0.00328587,0.014303706
PF3D7_0833500,8.68765E-05,0.001437815,0.001059322,0.003379832,0.005076088,0.05208333,0.017235772,0.02256391,0.001201658,0.010050251,0.009145427,0.044209,0.00219058,0.015563152
PF3D7_0900100,0.000226285,0.000359454,0.000264831,0.005008296,0.006042674,0.00520833,0.003902439,0.007125445,0.001514683,0.001005025,0.006746627,0.068184,0,0.004767902
PF3D7_0937800,0.000270201,0.001437815,0.002118644,0.003717815,0.004778591,0.01041667,0.008455285,0.012438277,0.000660358,0.007035176,0.005547226,0.041838,0.00219058,0.010345448
PF3D7_1000100,0.000155378,0.006110712,0.002648305,0.004363055,0.006544966,0,0.004878049,0.015250953,0.001638525,0.00201005,0.004647676,0.018893,0.05147864,0.017992083
PF3D7_1041300,0.000157696,0.001797268,0.000264831,0.001413384,0.013179498,0.04427083,0.017886179,0.0080005,0.00206145,0.003015075,0.0011994,0.095063,0.00219058,0.00647715
PF3D7_1100100,0.000701505,0.000718907,0.008209746,0.001413384,0.011300008,0.01041667,0.011382114,0.013563348,0.006482885,0,0.007346327,0.032745,0.00109529,0.00224901
PF3D7_1200100,0.001255663,0.002156722,0.030190678,0.011368525,0.031689365,0.01822917,0.024715447,0.027751734,0.005834282,0.008040201,0.015742129,0.250353,0.00328587,0.029327096
PF3D7_1219300,0.000293141,0.003594536,0.000794492,0.00599152,0.007066849,0.00260417,0.000325203,0.009688106,0.00070369,0.004020101,0.004347826,0.020505,0.00438116,0.003418496
PF3D7_1255200,0.001342013,0.000718907,0.000529661,0.004086524,0.026341404,0.0078125,0.026666667,0.011563223,0.004218994,0.008040201,0.012743628,0.163966,0.00109529,0.024379273
PF3D7_1300100,0.001490784,0.000718907,0.005561441,0.004608861,0.090245557,0.00260417,0.016910569,0.016376024,0.003111107,0.001005025,0.0017991,0.149449,0,0.010975171
PF3D7_1373500,0.001269936,0.001437815,0.023834746,0.005008296,0.028492667,0.01822917,0.033170732,0.016688543,0.002881601,0.011055276,0.007196402,0.063418,0.00438116,0.015563152
PF3D7_0600200,0.000109448,0.000718907,0,0.005837891,0.008074461,0.015625,0.006829268,0.008750547,0.000313708,0.001005025,0.001049475,0.018344,0.06024096,0.005037783
PF3D7_0632500,9.57716E-05,0.000718907,0.000529661,0.003472009,0.002592,0.01041667,0.000325203,0.010938184,0.000308514,0.004020101,0.002248876,0.01037,0.09309967,0.00656711
PF3D7_0800300,0.000208329,0.003594536,0.000794492,0.003687089,0.014490485,0.01302083,0.002926829,0.018126133,0.000444932,0.009045226,0.003148426,0.020094,0.00109529,0.002878733
PF3D7_1200400,0.000307087,0.001797268,0.000794492,0.006882566,0.007994032,0.03385417,0.008455285,0.020876305,0.002023723,0,0.002248876,0.087358,0.00109529,0.01070529
PF3D7_0413100,0,0.001078361,0.000529661,0.001935722,0,0,0,0.001687605,0,0.003015075,0.00089955,0,0,0.000719683
PF3D7_0421100,0.001904524,0.004313444,0.018802966,0.00267314,0.027766952,0.00260417,0.006178862,0.004687793,0.862688484,0.51959799,0.516041979,0.088333,0.00438116,0.002518892
PF3D7_0712300,0.000645974,0.000718907,0.006355932,0.006360229,0.010461829,0.01041667,0.007804878,0.019188699,0.001596014,0.004020101,0.003298351,0.063738,0.04052574,0.01511335
PF3D7_0712400,0.000388245,0.001078361,0.000794492,0.003164751,0.009805476,0.0078125,0.005528455,0.011813238,0.002567757,0.003015075,0.005397301,0.11946,0.00109529,0.018082044
PF3D7_0712800,0.000518997,0.000718907,0.008474576,0.002580962,0.024884964,0.00260417,0.01495935,0.020251266,0.002171077,0.018090452,0.004347826,0.059114,0.00657174,0.010165527
PF3D7_0808700,0.000500819,0.000718907,0.007944915,0.006759663,0.007172248,0.00260417,0.01300813,0.015125945,0.000860202,0.004020101,0.014392804,0.020493,0.00109529,0.007466715
PF3D7_0809100,0.000966581,0.000359454,0.002648305,0.003717815,0.025292471,0.00520833,0.033170732,0.022688918,0.002573498,0.016080402,0.005697151,0.121338,0.03614458,0.028427492
PF3D7_1240300,0.000356389,0.000718907,0.004237288,0.005161925,0.009826268,0.00260417,0.008780488,0.014625914,0.000801698,0.005025126,0.009295352,0.095309,0.01423877,0.014843469
PF3D7_1240400,0.002649275,0.006110712,0.016419492,0.013396424,0.032278292,0.02083333,0.049756098,0.034189637,0.005069765,0.016080402,0.023088456,0.405103,0.00876232,0.033555236
PF3D7_1240900,0,0.003594536,0.00529661,0.008480305,0,0.02083333,0.023414634,0.030314395,0,0.04321608,0.007046477,0,0.01971522,0.093828715
PF3D7_0412400,0.001132491,0.009345794,0.059586864,0.009279174,0.016788284,0.02083333,0.027317073,0.036814801,0.001564302,0.013065327,0.013343328,0.059443,0.2026287,0.039852465
PF3D7_0412700,0.001580499,0.002875629,0.009269068,0.004209427,0.052587752,0.0078125,0.010081301,0.021313832,0.00564059,0.00201005,0.008395802,0.249433,0.00547645,0.018981648
PF3D7_0412900,0.000442203,0.000718907,0.000264831,0.000460886,0.019677155,0,0.001300813,0.002000125,0.001086427,0,0,0.051986,0,0.000989565
PF3D7_0420700,0.000220157,0.010064702,0.002118644,0.002242979,0.007413599,0.01302083,0.005853659,0.00768798,0.001225579,0,0.0011994,0.046418,0,0.003778338
PF3D7_0420900,0.005573701,0,0.003707627,9.21772E-05,0.028997333,0.00260417,0.000650407,0.000250016,0.025289226,0.031155779,0.01994003,0.197889,0.00109529,0.000269881
PF3D7_0421300,0.001475885,0.000359454,0.003177966,0.00743563,0.021426508,0.01822917,0.034796748,0.02112632,0.003891344,0.004020101,0.009445277,0.061856,0.00766703,0.019071608
PF3D7_0617400,0.000329872,0.001078361,0.002913136,0.003717815,0.012086004,0.01041667,0.037073171,0.014625914,0.000644639,0.006030151,0.001949025,0.044537,0.00219058,0.011874775
PF3D7_0711700,0.948926115,0.8713156,0.476694915,0.694555399,0.021906082,0.0078125,0.027642276,0.029939371,0.003887927,0.013065327,0.008395802,0.102117,0.07009858,0.02581864
PF3D7_0712000,0.01317515,0.003235083,0.027542373,0.01219812,0.028500842,0.0078125,0.023414634,0.020501281,0.001530539,0.001005025,0.005547226,0.158134,0.00547645,0.047589061
PF3D7_0712600,0.000163713,0,0,0.004701039,0.004110818,0.10677083,0.01495935,0.011438215,0.000149404,0.003015075,0.004347826,0.074966,0.00876232,0.052177042
PF3D7_0712900,0.000391957,0.012940331,0.001059322,0.003748541,0.011921531,0.0234375,0.01398374,0.010125633,7.77777E-07,0.004020101,0.00149925,0.00000317,0.00219058,0.007466715
