X_,A11,A3,A4,B9
PF3D7_0100100,5,181,5,17
PF3D7_0100200,0,11,0,0
PF3D7_0100300,1,18,1,1
PF3D7_0100400,2,2,0,0
PF3D7_0100600,0,8,0,0
PF3D7_0100700,0,1,0,0
PF3D7_0100800,0,11,0,0
PF3D7_0100900,0,8,0,0
PF3D7_0101000,0,16,0,0
PF3D7_0101100,0,1,0,0
PF3D7_0101300,0,1,0,2
PF3D7_0101600,0,7,0,0
PF3D7_0101700,0,1,0,0
PF3D7_0101800,1,1,0,0
PF3D7_0101900,0,3,0,0
PF3D7_0102000,0,1,0,0
PF3D7_0102100,0,13,0,0
PF3D7_0102200,5,526,8,7
PF3D7_0102400,0,2,0,0
PF3D7_0102500,10,74,8,8
PF3D7_0102600,2,147,6,54
PF3D7_0102700,28,48,4,0
PF3D7_0102800,8,17,7,6
PF3D7_0102900,220,205,302,163
PF3D7_0103000,7,13,3,2
PF3D7_0103100,29,47,25,8
PF3D7_0103200,152,155,328,132
PF3D7_0103300,180,162,115,86
PF3D7_0103400,109,103,69,51
PF3D7_0103500,25,36,13,3
PF3D7_0103600,72,85,25,21
PF3D7_0103700,20,51,35,9
PF3D7_0103800,11,11,3,2
PF3D7_0103900,23,28,36,10
PF3D7_0104000,3,3,0,2
PF3D7_0104100,14,17,3,3
PF3D7_0104200,31,23,36,16
PF3D7_0104300,1467,1779,1493,1074
PF3D7_0104400,44,72,16,7
PF3D7_0104500,75,84,96,43
PF3D7_0104600,35,35,16,9
PF3D7_0104700,29,20,5,3
PF3D7_0104800,9,13,9,4
PF3D7_0104900,12,5,9,2
PF3D7_0105000,26,49,33,33
PF3D7_0105100,0,2,0,0
PF3D7_0105200,55,44,69,29
PF3D7_0105300,2,4,3,2
PF3D7_0105400,10,7,0,0
PF3D7_0105500,2,3,2,0
PF3D7_0105600,180,200,183,145
PF3D7_0105700,209,207,46,51
PF3D7_0105800,23,21,7,2
PF3D7_0105900,32,31,2,0
PF3D7_0106000,15,17,7,3
PF3D7_0106100,64,70,64,49
PF3D7_0106200,5,4,4,1
PF3D7_0106300,432,482,460,258
PF3D7_0106400,229,240,377,203
PF3D7_0106500,55,44,23,0
PF3D7_0106600,105,93,13,4
PF3D7_0106700,548,616,550,285
PF3D7_0106800,10,10,10,9
PF3D7_0106900,52,64,1,4
PF3D7_0107000,5,6,3,4
PF3D7_0107100,13,11,1,0
PF3D7_0107200,2,6,2,1
PF3D7_0107300,8,10,5,0
PF3D7_0107400,24,20,1,3
PF3D7_0107500,1835,1855,1586,1219
PF3D7_0107600,109,119,14,17
PF3D7_0107700,13,18,18,15
PF3D7_0107800,55,60,35,9
PF3D7_0107900,23,25,22,9
PF3D7_0108000,106,110,154,82
PF3D7_0108100,15,25,4,4
PF3D7_0108300,2118,2004,1739,1121
PF3D7_0108400,39,38,52,34
PF3D7_0108500,1626,2156,2297,1495
PF3D7_0108600,26,25,14,11
PF3D7_0108700,369,383,293,202
PF3D7_0108800,44,41,40,26
PF3D7_0108900,4,5,2,1
PF3D7_0109000,4,7,0,1
PF3D7_0109100,19,17,3,3
PF3D7_0109200,34,35,33,4
PF3D7_0109300,8,2,1,1
PF3D7_0109400,22,17,47,16
PF3D7_0109500,60,68,88,47
PF3D7_0109600,23,27,36,22
PF3D7_0109700,240,264,280,195
PF3D7_0109800,343,379,435,292
PF3D7_0109850,17,11,13,9
PF3D7_0109950,21,13,20,11
PF3D7_0110000,36,34,26,10
PF3D7_0110100,56,54,58,14
PF3D7_0110200,36,53,45,14
PF3D7_0110300,3,0,1,0
PF3D7_0110400,163,170,185,112
PF3D7_0110500,271,236,224,116
PF3D7_0110600,1045,1296,1220,754
PF3D7_0110700,41,49,19,17
PF3D7_0110800,188,124,212,92
PF3D7_0110900,61,66,44,45
PF3D7_0111000,41,40,1,4
PF3D7_0111200,4,2,1,1
PF3D7_0111300,37,31,12,9
PF3D7_0111400,19,14,13,6
PF3D7_0111500,11,12,2,7
PF3D7_0111600,23,14,19,11
PF3D7_0111700,0,2,3,1
PF3D7_0111800,118,90,104,56
PF3D7_0111900,14,20,43,22
PF3D7_0112000,34,36,41,16
PF3D7_0112100,1,3,4,2
PF3D7_0112200,56,49,50,41
PF3D7_0112300,68,73,106,61
PF3D7_0112500,0,0,2,1
PF3D7_0112700,1009,1048,895,547
PF3D7_0112800,6,6,2,1
PF3D7_0112900,6,8,9,14
PF3D7_0113000,7838,10890,7542,7775
PF3D7_0113100,137,149,16,9
PF3D7_0113200,82,60,51,22
PF3D7_0113300,183,201,241,106
PF3D7_0113400,24,24,8,1
PF3D7_0113600,160,159,13,19
PF3D7_0113700,332,415,457,254
PF3D7_0113800,2047,1700,791,782
PF3D7_0113900,84,93,88,49
PF3D7_0114000,137,107,67,29
PF3D7_0114100,0,4,1,0
PF3D7_0114200,1,3,1,0
PF3D7_0114300,36,38,2,0
PF3D7_0114400,2,6,3,0
PF3D7_0114500,9,11,5,4
PF3D7_0114600,5,4,1,0
PF3D7_0114700,10,12,0,1
PF3D7_0114750,1,0,0,0
PF3D7_0114800,4,3,0,0
PF3D7_0114900,4,2,0,0
PF3D7_0115000,23,23,1,3
PF3D7_0115050,0,0,0,0
PF3D7_0115100,4,2,0,3
PF3D7_0115200,7,11,0,4
PF3D7_0115300,3,6,0,0
PF3D7_0115400,7,11,0,0
PF3D7_0115500,14,6,0,1
PF3D7_0115600,3,11,6,0
PF3D7_0115700,73,109,89,19
PF3D7_0200100,5,103,6,2
PF3D7_0200200,0,1,0,0
PF3D7_0200300,0,1,0,0
PF3D7_0200400,0,0,0,0
PF3D7_0200700,1,1,0,0
PF3D7_0200800,0,1,2,0
PF3D7_0200900,1,0,0,0
PF3D7_0201000,0,0,0,0
PF3D7_0201500,0,0,0,0
PF3D7_0201600,1,0,0,0
PF3D7_0201700,0,1,0,4
PF3D7_0201800,0,2,1,2
PF3D7_0201900,0,0,0,0
PF3D7_0202000,2,3,3,2
PF3D7_0202100,0,0,0,0
PF3D7_0202200,1,1,0,0
PF3D7_0202300,6,4,17,10
PF3D7_0202400,2075,454,2050,712
PF3D7_0202500,3091,3862,3006,2666
PF3D7_0202600,116,96,116,80
PF3D7_0202700,3,2,2,1
PF3D7_0202800,8,11,2,0
PF3D7_0202900,2,7,0,0
PF3D7_0203000,70,85,8,12
PF3D7_0203100,59,88,12,18
PF3D7_0203200,63,78,52,42
PF3D7_0203300,10,20,21,12
PF3D7_0203400,1,2,0,3
PF3D7_0203600,4,8,4,6
PF3D7_0203700,281,351,330,199
PF3D7_0203800,20,16,8,8
PF3D7_0203900,17,38,3,2
PF3D7_0204000,28,39,2,4
PF3D7_0204100,37,39,3,0
PF3D7_0204200,183,239,247,134
PF3D7_0204300,202,266,279,200
PF3D7_0204400,10,7,16,10
PF3D7_0204500,45,33,59,22
PF3D7_0204600,62,44,34,20
PF3D7_0204700,223,222,267,129
PF3D7_0204800,17,14,5,2
PF3D7_0204900,7,8,1,0
PF3D7_0205000,53,49,6,0
PF3D7_0205100,53,32,6,1
PF3D7_0205200,8,10,0,0
PF3D7_0205300,17,14,2,1
PF3D7_0205400,90,85,106,38
PF3D7_0205500,13,14,18,6
PF3D7_0205600,25,40,7,11
PF3D7_0205700,129,170,248,143
PF3D7_0205800,14,14,14,6
PF3D7_0205900,372,337,386,211
PF3D7_0206000,139,192,143,67
PF3D7_0206100,27,40,36,25
PF3D7_0206200,16,32,4,10
PF3D7_0206300,645,435,359,203
PF3D7_0206500,164,153,245,82
PF3D7_0206600,10,17,13,6
PF3D7_0206700,83,51,60,11
PF3D7_0206800,4,2,4,1
PF3D7_0206900,10,13,5,1
PF3D7_0207000,13,15,3,0
PF3D7_0207100,89,67,8,5
PF3D7_0207200,6,9,2,0
PF3D7_0207300,8,14,1,4
PF3D7_0207400,9,17,0,0
PF3D7_0207500,3,2,2,2
PF3D7_0207600,36,22,6,2
PF3D7_0207700,4,5,0,0
PF3D7_0207800,14,22,4,2
PF3D7_0207900,15,20,4,3
PF3D7_0208000,26,34,1,2
PF3D7_0208100,116,170,13,11
PF3D7_0208200,104,98,174,87
PF3D7_0208300,62,79,113,43
PF3D7_0208400,409,369,466,299
PF3D7_0208500,7,8,9,6
PF3D7_0208600,59,41,20,8
PF3D7_0208700,57,60,94,39
PF3D7_0208800,59,40,64,22
PF3D7_0208900,18,29,7,4
PF3D7_0209000,54,74,17,10
PF3D7_0209100,95,103,63,25
PF3D7_0209200,84,102,101,59
PF3D7_0209300,35,30,60,23
PF3D7_0209400,20,37,25,11
PF3D7_0209500,10,7,1,2
PF3D7_0209600,22,28,13,1
PF3D7_0209700,311,306,319,223
PF3D7_0209800,856,856,1154,639
PF3D7_0209900,12,8,9,11
PF3D7_0210000,305,307,300,188
PF3D7_0210100,831,957,1744,974
PF3D7_0210200,55,77,25,9
PF3D7_0210300,8,2,2,3
PF3D7_0210400,8,3,4,0
PF3D7_0210500,53,59,42,13
PF3D7_0210600,8,11,1,2
PF3D7_0210700,2,5,1,0
PF3D7_0210800,31,43,24,18
PF3D7_0210900,352,373,437,270
PF3D7_0211000,8,12,10,9
PF3D7_0211100,13,22,9,6
PF3D7_0211200,14,9,4,3
PF3D7_0211300,7,16,24,16
PF3D7_0211400,2,6,1,0
PF3D7_0211500,59,68,4,1
PF3D7_0211600,15,15,3,1
PF3D7_0211700,69,104,10,2
PF3D7_0211800,781,911,683,510
PF3D7_0211900,20,10,8,2
PF3D7_0212000,15,31,5,2
PF3D7_0212100,571,578,490,300
PF3D7_0212200,27,38,36,16
PF3D7_0212300,523,612,735,428
PF3D7_0212400,338,311,351,191
PF3D7_0212500,947,1043,880,633
PF3D7_0212600,19,23,2,1
PF3D7_0212700,25,8,28,15
PF3D7_0212800,25,22,2,9
PF3D7_0212900,26,29,7,12
PF3D7_0213000,13,13,1,0
PF3D7_0213100,175,193,221,117
PF3D7_0213200,15,14,3,7
PF3D7_0213300,0,1,1,0
PF3D7_0213400,26,30,8,4
PF3D7_0213500,29,18,21,5
PF3D7_0213600,81,98,12,10
PF3D7_0213700,73,46,89,28
PF3D7_0213800,33,37,11,31
PF3D7_0213900,221,223,162,103
PF3D7_0214000,311,370,422,220
PF3D7_0214100,417,399,320,236
PF3D7_0214200,18,12,10,9
PF3D7_0214300,145,148,59,18
PF3D7_0214400,288,384,421,242
PF3D7_0214500,20,7,19,8
PF3D7_0214600,167,162,10,13
PF3D7_0214700,1,5,4,0
PF3D7_0214800,471,538,566,326
PF3D7_0214900,196,219,15,11
PF3D7_0215000,82,78,33,19
PF3D7_0215100,20,34,21,14
PF3D7_0215200,20,35,23,8
PF3D7_0215300,131,122,165,87
PF3D7_0215400,124,136,125,70
PF3D7_0215500,146,195,194,121
PF3D7_0215600,72,99,81,58
PF3D7_0215700,535,583,349,303
PF3D7_0215800,31,26,4,8
PF3D7_0215900,5,2,0,0
PF3D7_0216000,92,111,7,10
PF3D7_0216100,11,20,16,14
PF3D7_0216200,41,29,63,21
PF3D7_0216300,169,109,76,42
PF3D7_0216400,11,16,5,0
PF3D7_0216500,115,132,17,6
PF3D7_0216600,270,326,259,198
