Cells,PF3D7_0100100,PF3D7_0100300,PF3D7_0115700,PF3D7_0200100,PF3D7_0223500,PF3D7_0300100,PF3D7_0324900,PF3D7_0400100,PF3D7_0400400,PF3D7_0412400,PF3D7_0412700,PF3D7_0412900,PF3D7_0413100,PF3D7_0420700,PF3D7_0420900,PF3D7_0421100,PF3D7_0421300,PF3D7_0425800,PF3D7_0426000,PF3D7_0500100,PF3D7_0533100,PF3D7_0600200,PF3D7_0600400,PF3D7_0617400,PF3D7_0632500,PF3D7_0632800,PF3D7_0700100,PF3D7_0711700,PF3D7_0712000,PF3D7_0712300,PF3D7_0712400,PF3D7_0712600,PF3D7_0712800,PF3D7_0712900,PF3D7_0733000,PF3D7_0800100,PF3D7_0800200,PF3D7_0800300,PF3D7_0808600,PF3D7_0808700,PF3D7_0809100,PF3D7_0833500,PF3D7_0900100,PF3D7_0937600,PF3D7_0937800,PF3D7_1000100,PF3D7_1041300,PF3D7_1100100,PF3D7_1100200,PF3D7_1150400,PF3D7_1200100,PF3D7_1200400,PF3D7_1200600,PF3D7_1219300,PF3D7_1240300,PF3D7_1240400,PF3D7_1240600,PF3D7_1240900,PF3D7_1255200,PF3D7_1300100,PF3D7_1300300,PF3D7_1373500
HighSingleA_8841,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1
HighSingleA_6975,4,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,2,2,0,1,0,0,0
HighSingleA_2249,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HighSingleA_2407,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,79,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,1,0
HighSingleA_558,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2
HighSingleA_5859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
HighSingleA_8931,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,0,4,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
HighSingleA_4875,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,1,0,3,0,0,0,0,0,0,0,2,0
HighSingleA_7716,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,89,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
HighSingleA_3633,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
HighSingleA_6043,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,79,0,2,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
HighSingleA_7385,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,6,0,0,0,65,1,0,0,0,0,0,1,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,1
HighSingleA_4855,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
HighSingleA_2469,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,16,0,0,1,0,3
HighSingleA_5399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58,0,0,2,0,0,1,0,0,3,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,5,0,0,0,0,0,0
HighSingleA_7362,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,1,2,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HighSingleA_3967,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,2,0,1,1,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
HighSingleA_6644,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,75,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
