var,qPCR_IT4_HS,HIVE_IT4_HS,qPCR_IT4_LM,HIVE_IT4_LM
PfIT_000009500,0.002183273,0.004760979,0.020143057,0.049399967
PfIT_000010800,7.98933E-08,0.008161679,9.68565E-08,0.000739767
PfIT_010005000,0.001563307,0.000874466,0.002443943,0.0022193
PfIT_020005200,0.000955609,0.005538282,0.001879321,0.000493178
PfIT_020027600,0.001944879,0.005052468,0.003516672,0.000410981
PfIT_030005100,0.001401355,0.001651768,0.003553427,0.006822292
PfIT_030029700,0.001382221,0.003595025,0.004115909,0.007890843
PfIT_030029800,0.002185206,0.007092888,0.011902648,0.01857636
PfIT_040005400,0.000817025,0.0034007,0.003336211,0.011918461
PfIT_040017000,0.023214535,0.01059075,0.086775192,0.035590991
PfIT_040017300,0,0.008064516,0,0.036412954
PfIT_040017400,0.022454359,0.019335406,0.052900547,0.041098142
PfIT_040025100,0.003707345,0.010104936,0.01704422,0.007726451
PfIT_040025300,0.000779305,0.00136028,0.001368136,0.003781029
PfIT_040025500,0.010861922,0.013699961,0.021633734,0.017672201
PfIT_040025800,0.002223414,0.014282938,0.003528881,0.004438599
PfIT_040030600,5.64754E-05,0.000291489,0.000130509,0.005589347
PfIT_050005500,4.19921E-08,0.000194326,5.98702E-08,0
PfIT_050037800,0.008664954,0,0.010967865,0
PfIT_050038500,0.001128481,0.000874466,0.003399236,0.006000329
PfIT_060021400,0.002205092,0.002137583,0.01017679,0.001068552
PfIT_060036700,0.001425584,0.003983677,0.014037468,0.021782015
PfIT_060036800,0,0.000582977,0,0.000986355
PfIT_070005800,0.009063539,0.004178002,0.060556534,0.044879171
PfIT_070005900,0.003039278,0.002914885,0.028764365,0.04512576
PfIT_070016600,0.001214888,0.001263117,0.010557606,0.014630939
PfIT_070016700,0.006876748,0.001651768,0.013124683,0.012904817
PfIT_070016900,0.005234895,0.005149631,0.093455699,0.07389446
PfIT_070017000,0.001973195,0,0.004860858,0.007890843
PfIT_070017100,0.000799075,0,0.002516137,0.008137432
PfIT_070017200,0.00293069,0.004178002,0.006238551,0.003863225
PfIT_080013800,0.823931193,0.80431403,0.050921772,0.063373336
PfIT_080014100,0,0.002234745,0,0.017343416
PfIT_080037400,0.002521309,0,0.012203396,0.011589676
PfIT_090005100,0.000824969,9.71628E-05,0.006603407,0.010932106
PfIT_100044000,0.000747186,0.000291489,0.002091026,0.00994575
PfIT_100044100,0.001093872,0.002234745,0.009850594,0.010932106
PfIT_110005600,0.008213906,0.007287213,0.105581316,0.039207628
PfIT_120005500,0.002827092,0.000388651,0.01892486,0.016685846
PfIT_120006100,0.001106762,0.001068791,0.003072069,0.011918461
PfIT_120024500,0.002784902,0.000874466,0.022740794,0.023343745
PfIT_120024600,0,0.00068014,0,0.013644583
PfIT_120045200,0.00217383,0.000582977,0.004627428,0.001068552
PfIT_120045600,0.00150801,0.000971628,0.005595281,0.005835936
PfIT_120045700,0.003140327,0.009133307,0.016395304,0.012987013
PfIT_120045800,0.007406234,0.012922658,0.013034025,0.012411639
PfIT_120046200,0.006652365,0.001748931,0.012520417,0.009205984
PfIT_120060300,0.000444892,0.000291489,0.001158462,0.000246589
PfIT_120060400,0.001405368,0.003012048,0.003059319,0.008301825
PfIT_130005200,0.007473948,0.001068791,0.04290907,0.027289167
PfIT_130005300,0,0,0,8.21963E-05
PfIT_130077800,0.002117451,0,0.003538678,0.00353444
PfIT_140006100,0.000681308,0.001554606,0.003940042,0.007397666
PfIT_140006200,0,0.002526234,0,0.071264179
PfIT_140006400,0.000156505,0,0.001129912,0.003781029
PfIT_140085700,0.002501801,0.001748931,0.167174472,0.115732369
